"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
3128,607074,"Rodón, Carlos",5204,60.1,0.207,0.142,0.278,0.349,0.276,0.278,0.206,139,670,89.5,21.2,2326,95.5,95.21,486,1696,1432,-0.29999999999999716,6.18,108,152,113,148,298,320,292
3097,543037,"Cole, Gerrit",6243,49.6,0.223,0.187,0.299,0.41,0.297,0.297,0.219,145,651,91.8,17.7,2439,97.7,97.81,432,1526,1571,0.09999999999999432,6.51,112,156,120,150,294,326,291
3062,592662,"Ray, Robbie",6188,49.5,0.223,0.194,0.263,0.417,0.307,0.311,0.229,162,727,90.6,23,2276,94.2,94.24,410,1658,1404,0,6.49,107,153,120,146,296,320,288
2995,601713,"Pivetta, Nick",5827,51.4,0.245,0.194,0.291,0.439,0.34,0.34,0.241,153,624,92.2,23.1,2302,94.1,94.61,320,1525,1470,0.5,6.71,110,156,117,150,292,328,298
2941,592332,"Gausman, Kevin",5785,50.8,0.292,0.155,0.339,0.447,0.337,0.355,0.286,207,709,91,15.7,2275,94.8,94.84,291,1620,1321,0,6.45,110,157,116,149,297,322,296
2933,669302,"Gilbert, Logan",5140,57.1,0.257,0.165,0.309,0.422,0.321,0.331,0.26,173,673,91.9,18.3,2164,95.7,97.8,370,1627,1306,2.0999999999999943,7.46,112,154,116,148,292,322,296
2786,663474,"McKenzie, Triston",4782,58.3,0.213,0.191,0.226,0.404,0.313,0.348,0.249,135,633,91.1,24.1,2288,92.3,93.02,283,1456,1330,0.7000000000000028,6.79,111,155,119,150,295,318,293
2777,641816,"Mahle, Tyler",5297,52.4,0.223,0.184,0.311,0.407,0.317,0.293,0.201,127,570,89.4,20.3,2320,93.7,94.2,352,1284,1493,0.5,6.61,114,154,119,148,292,319,291
2624,656302,"Cease, Dylan",6077,43.2,0.253,0.171,0.293,0.424,0.347,0.357,0.251,132,521,90,20.8,2526,96.7,96.26,304,1314,1310,-0.4000000000000057,6.04,110,152,111,149,299,323,298
2616,608337,"Giolito, Lucas",5723,45.7,0.268,0.17,0.316,0.439,0.341,0.339,0.254,140,522,90.8,15.6,2258,93.2,94.09,282,1204,1412,0.8999999999999915,6.84,110,152,112,149,300,323,297
2595,664299,"Javier, Cristian",4346,59.7,0.201,0.164,0.247,0.365,0.306,0.326,0.218,109,543,90.7,22.4,2349,93.7,92.98,370,1374,1221,-0.7000000000000028,5.99,114,157,118,151,293,324,293
2576,628711,"Urías, Julio",5408,47.6,0.234,0.18,0.272,0.414,0.309,0.307,0.229,142,606,87.7,19.8,2510,93.6,92.75,305,1377,1199,-0.8999999999999915,5.66,110,156,115,149,300,315,289
2538,668678,"Gallen, Zac",5037,50.4,0.19,0.142,0.24,0.332,0.275,0.305,0.216,96,506,88.5,16,2378,93.8,94.16,185,1041,1497,0.4000000000000057,6.63,111,153,119,150,299,324,296
2532,605483,"Snell, Blake",4688,54,0.234,0.172,0.292,0.407,0.33,0.348,0.24,114,487,90.4,17.6,2417,95.5,96.15,255,1163,1369,0.7000000000000028,6.81,111,154,121,148,299,322,305
2352,554430,"Wheeler, Zack",5563,42.3,0.22,0.115,0.316,0.335,0.278,0.284,0.221,115,522,88.4,15.2,2389,96.6,98.02,321,1190,1162,1.4000000000000057,7.23,113,151,115,148,294,323,294
2299,453286,"Scherzer, Max",4988,46.1,0.201,0.163,0.237,0.364,0.276,0.305,0.215,96,478,90.2,26.2,2415,94.2,93.74,321,1175,1124,-0.5,6.2,112,156,117,149,298,324,297
2288,664353,"Urquidy, José",4271,53.6,0.241,0.218,0.241,0.458,0.318,0.356,0.27,127,528,91.9,24.9,2206,93.1,92.33,246,1284,1004,-0.7999999999999972,5.93,113,156,117,150,294,324,292
2287,663460,"Bubic, Kris",4464,51.2,0.284,0.19,0.328,0.474,0.374,0.368,0.271,127,447,89.8,14.8,2103,91.4,91.71,210,1028,1259,0.29999999999999716,6.6,107,156,117,146,301,323,301
2274,669432,"Rogers, Trevor",4109,55.3,0.261,0.174,0.348,0.435,0.348,0.347,0.254,129,494,90,16.7,2397,94.6,94.74,273,1093,1181,0.10000000000000853,6.59,105,151,116,148,300,316,287
2250,592351,"Gray, Jon",4599,48.9,0.305,0.166,0.35,0.471,0.366,0.352,0.285,156,512,89.4,5.4,2088,95.3,95.73,182,1055,1195,0.4000000000000057,6.48,113,153,119,149,297,325,300
2203,594835,"Gonzales, Marco",5162,42.7,0.243,0.241,0.237,0.484,0.345,0.367,0.268,114,469,89,23,2069,88.4,88.63,162,984,1219,0.19999999999998863,6.44,109,153,115,147,296,320,290
2175,592791,"Taillon, Jameson",5177,42,0.225,0.199,0.271,0.424,0.305,0.313,0.226,112,498,91.1,24.1,2396,94,94.54,300,1164,1011,0.5,6.67,112,155,118,149,295,326,290
2161,621076,"Kaprielian, James",4254,50.8,0.253,0.215,0.282,0.468,0.354,0.354,0.256,119,470,90.2,22.7,2020,93.5,92.94,224,1013,1148,-0.5999999999999943,6.03,113,152,118,151,297,322,299
2156,677651,"Garcia, Luis",4970,43.4,0.291,0.213,0.32,0.504,0.376,0.375,0.283,150,516,91.7,19.5,2380,93.6,93.23,206,1107,1049,-0.3999999999999915,6.16,115,156,115,150,293,323,293
2132,622608,"Senzatela, Antonio",3926,54.3,0.335,0.135,0.354,0.469,0.364,0.348,0.307,174,520,89.2,3.9,2110,94.5,94.6,136,1019,1113,0.09999999999999432,6.16,110,152,118,148,302,331,304
2130,605400,"Nola, Aaron",6010,35.4,0.23,0.182,0.276,0.412,0.306,0.319,0.228,95,413,89.8,25.5,2250,92.8,93.68,235,1009,1121,0.9000000000000057,6.93,111,152,116,147,296,325,294
2119,543475,"Lyles, Jordan",5952,35.6,0.292,0.281,0.297,0.574,0.403,0.397,0.287,133,455,91.2,22.9,2245,92.5,93.27,199,1020,1099,0.7999999999999972,6.79,113,158,118,149,300,324,297
2115,608566,"Márquez, Germán",5627,37.6,0.29,0.185,0.298,0.474,0.374,0.384,0.303,135,466,90.4,7.2,2102,95.1,93.96,145,999,1116,-1.0999999999999943,5.41,112,152,116,148,301,330,304
2107,571760,"Heaney, Andrew",3560,59.2,0.254,0.249,0.313,0.504,0.354,0.323,0.231,105,413,91.3,22,2443,92.4,91.87,292,1015,1092,-0.5,6.2,110,155,117,147,301,321,292
2041,450203,"Morton, Charlie",5890,34.7,0.245,0.17,0.298,0.415,0.323,0.329,0.24,112,458,89.5,17.8,2356,95.2,95,218,1002,1039,-0.20000000000000284,6.24,112,152,127,146,300,324,299
2033,641778,"Lauer, Eric",4632,43.9,0.217,0.166,0.29,0.383,0.301,0.285,0.2,89,410,89.4,21.9,2276,93,91.18,280,986,1047,-1.7999999999999972,6.14,107,153,118,146,299,320,295
2027,608344,"Irvin, Cole",5292,38.3,0.24,0.152,0.289,0.392,0.295,0.318,0.25,117,487,90.3,22,1965,90.7,90.74,226,1072,955,0,6.32,109,151,118,149,303,325,297
1996,623167,"Flexen, Chris",5015,39.8,0.285,0.204,0.321,0.489,0.368,0.361,0.261,119,417,91.8,21.5,2118,92.3,91.63,160,944,1052,-0.7000000000000028,5.99,110,153,115,147,293,320,295
1986,666120,"Anderson, Ian",4180,47.5,0.258,0.135,0.292,0.394,0.328,0.349,0.269,107,414,89.4,9,1993,94.3,95.33,174,886,1100,1,6.95,109,151,122,147,304,323,298
1970,458681,"Lynn, Lance",4630,42.5,0.195,0.125,0.267,0.319,0.25,0.245,0.184,78,401,89,22.4,2424,93.5,93.68,335,1018,952,0.20000000000000284,6.33,110,153,112,150,297,323,295
1968,656629,"Kopech, Michael",3165,62.2,0.198,0.162,0.246,0.36,0.298,0.305,0.202,78,394,90.4,20.2,2550,95.8,96.11,252,900,1067,0.29999999999999716,6.65,110,152,112,149,298,324,298
1961,642547,"Peralta, Freddy",3709,52.9,0.176,0.142,0.24,0.318,0.271,0.278,0.186,73,415,88.4,20.6,2363,93.1,94.04,252,874,1087,0.9000000000000057,7.09,111,154,120,148,297,320,295
1949,542881,"Anderson, Tyler",5178,37.6,0.258,0.184,0.293,0.442,0.332,0.347,0.259,102,396,87.7,22.6,2260,90.6,90.12,192,950,999,-0.5,6.02,108,153,116,147,301,317,287
1940,543606,"Odorizzi, Jake",3645,53.2,0.254,0.165,0.298,0.419,0.329,0.333,0.25,102,401,90,25.2,2128,92.1,91.74,232,1023,917,-0.3999999999999915,6.1,114,156,120,150,294,322,294
1936,656605,"Keller, Mitch",4519,42.8,0.294,0.164,0.36,0.458,0.366,0.34,0.255,113,384,88.2,13.3,2385,94.6,94.48,187,906,1030,-0.09999999999999432,6.19,107,151,118,150,302,321,295
1922,605540,"Woodruff, Brandon",5348,35.9,0.187,0.168,0.283,0.355,0.275,0.285,0.201,89,476,88.8,22.6,2353,96.4,96.46,317,1075,847,0.09999999999999432,6.54,112,153,120,148,296,320,297
1914,608331,"Fried, Max",5376,35.6,0.257,0.131,0.278,0.388,0.308,0.316,0.265,130,505,86,5.1,2125,94,94.39,157,1007,907,0.4000000000000057,6.39,109,152,120,149,307,321,291
1904,543135,"Eovaldi, Nathan",4666,40.8,0.31,0.179,0.369,0.488,0.361,0.342,0.274,130,420,90.4,13.7,2118,96.5,97.06,182,992,912,0.5999999999999943,6.71,111,156,117,150,292,326,296
1892,425844,"Greinke, Zack",4849,39,0.278,0.196,0.29,0.474,0.341,0.378,0.308,112,403,91.8,20.5,2258,89,88.7,106,778,1114,-0.29999999999999716,5.96,113,157,116,150,296,325,297
1884,448179,"Hill, Rich",4486,42,0.285,0.24,0.351,0.525,0.37,0.348,0.258,113,396,91.1,21.7,2306,88.3,88.07,192,842,1042,-0.20000000000000284,6.3,104,154,113,148,297,323,293
1857,502179,"Espino, Paolo",3608,51.5,0.288,0.216,0.295,0.503,0.356,0.371,0.293,128,445,90.7,17,2222,88.7,89.13,93,776,1081,0.3999999999999915,6.55,113,156,125,145,300,321,298
1846,501985,"Minor, Mike",4371,42.2,0.275,0.235,0.296,0.51,0.367,0.332,0.242,112,408,88.8,22.8,2516,90.7,89.82,158,891,955,-0.9000000000000057,5.6,107,154,116,145,299,323,294
1846,579328,"Kikuchi, Yusei",4405,41.9,0.231,0.227,0.278,0.458,0.352,0.394,0.266,68,295,92.7,15.9,2242,95,95.64,212,740,1106,0.5999999999999943,6.79,107,154,118,147,302,323,292
1836,668676,"Plesac, Zach",4358,42.1,0.316,0.249,0.315,0.564,0.408,0.423,0.315,118,374,92.7,18.7,2099,92.4,92.24,135,848,988,-0.20000000000000284,6.19,112,156,117,150,294,319,295
