"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1646,608337,"Giolito, Lucas",5723,28.8,0.23,0.167,0.323,0.397,0.303,0.263,0.208,98,426,82,17.4,1473,81.3,82.1,332,905,741,0.7999999999999972,6.73,110,152,113,149,300,322,297
1627,645261,"Alcantara, Sandy",6343,25.7,0.184,0.08,0.257,0.264,0.22,0.241,0.2,85,462,85.1,-3.1,2034,91.8,90.94,307,937,690,-0.8999999999999915,5.95,112,153,117,150,297,317,293
1599,605200,"Davies, Zach",4869,32.8,0.225,0.179,0.255,0.404,0.291,0.285,0.232,98,436,83.8,11,1682,79.1,78.72,320,926,673,-0.3999999999999915,6.12,109,153,118,149,299,322,298
1570,641154,"López, Pablo",4579,34.3,0.226,0.143,0.302,0.369,0.282,0.273,0.222,93,412,87.3,3.2,1959,87.7,88.32,289,878,692,0.5999999999999943,6.81,110,152,119,150,296,316,292
1522,622491,"Castillo, Luis",5670,26.8,0.218,0.13,0.279,0.348,0.277,0.26,0.209,87,399,85.6,3.7,1958,88.4,87.25,257,847,675,-1.2000000000000028,5.6,116,153,118,148,290,320,293
1459,657277,"Webb, Logan",5220,28,0.224,0.089,0.288,0.313,0.26,0.278,0.243,91,406,88.8,-3.9,1487,86.3,87.32,226,821,638,1,6.73,111,153,116,149,296,323,298
1456,542881,"Anderson, Tyler",5178,28.1,0.208,0.147,0.231,0.355,0.254,0.253,0.215,81,389,83,15.3,1842,79.9,79.53,271,812,644,-0.4000000000000057,6.03,107,153,117,146,302,317,285
1353,666120,"Anderson, Ian",4180,32.4,0.203,0.154,0.259,0.357,0.286,0.296,0.218,71,350,84.9,1.6,1583,88.1,88.91,265,742,611,0.8000000000000114,6.88,110,152,126,146,303,324,299
1334,640455,"Manaea, Sean",5462,24.4,0.267,0.153,0.322,0.421,0.31,0.294,0.241,101,378,89.1,8.7,1405,84.7,86,227,754,580,1.2999999999999972,7.16,108,153,121,148,303,323,297
1331,594835,"Gonzales, Marco",5162,25.8,0.24,0.191,0.253,0.43,0.301,0.272,0.229,98,409,84.4,13.9,2138,79.3,79.33,199,777,554,0,6.38,107,153,120,145,298,320,285
1307,663460,"Bubic, Kris",4464,29.3,0.255,0.199,0.29,0.454,0.339,0.355,0.267,96,377,88,10.8,1645,80.4,80.65,191,705,602,0.19999999999998863,6.6,105,154,118,145,302,323,301
1275,527048,"Perez, Martin",4839,26.3,0.262,0.134,0.301,0.396,0.301,0.303,0.259,86,328,85.2,8.1,1674,84.6,83.93,227,686,589,-0.6999999999999886,5.91,110,153,118,147,300,324,293
