"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
2199,450203,"Morton, Charlie",5890,37.3,0.148,0.103,0.242,0.251,0.217,0.231,0.168,79,534,85.6,6.5,3061,81,80.49,410,1002,1197,-0.5,6.21,111,152,127,146,301,323,300
1993,425794,"Wainwright, Adam",6201,32.1,0.228,0.111,0.278,0.338,0.266,0.283,0.241,119,523,85.2,8.7,2809,73.2,72.65,228,923,1070,-0.6000000000000085,6.33,116,157,116,149,298,320,301
1826,628711,"Urías, Julio",5408,33.8,0.177,0.116,0.225,0.292,0.219,0.224,0.184,75,424,83.1,19,2899,81.1,80.07,203,851,975,-1,5.58,110,155,117,149,299,315,289
1771,621244,"Berríos, José",5764,30.7,0.205,0.153,0.296,0.358,0.258,0.265,0.208,86,419,87.2,13.7,2313,82.9,82.57,249,757,1014,-0.30000000000001137,6.28,109,158,120,149,296,324,298
1644,448179,"Hill, Rich",4486,36.6,0.227,0.102,0.265,0.33,0.287,0.31,0.244,100,440,85.8,10.5,2681,71.8,70.79,149,793,851,-1,6.08,104,153,116,148,297,324,293
1490,664285,"Valdez, Framber",5108,29.2,0.137,0.059,0.289,0.196,0.201,0.214,0.151,53,387,86.8,1.2,2859,78.6,77.49,315,700,790,-1.0999999999999943,5.9,109,154,116,148,294,322,290
1266,608331,"Fried, Max",5376,23.5,0.166,0.074,0.284,0.24,0.191,0.198,0.17,45,271,83,9.4,2697,74.4,73.83,195,521,745,-0.6000000000000085,6.17,107,152,120,149,307,322,291
1259,607200,"Fedde, Erick",4830,26.1,0.271,0.173,0.354,0.444,0.333,0.325,0.254,72,266,87,18.6,2341,79,79.14,172,545,714,0.09999999999999432,6.52,112,154,121,145,300,320,294
1239,605397,"Musgrove, Joe",5772,21.5,0.161,0.117,0.241,0.278,0.239,0.25,0.187,44,273,88.2,0.5,2770,81.8,80.86,186,542,697,-0.8999999999999915,5.93,114,158,129,146,297,320,306
1212,656756,"Montgomery, Jordan",5285,22.9,0.174,0.108,0.285,0.281,0.216,0.224,0.182,50,288,86.4,10.9,2254,80.1,80.39,238,564,648,0.30000000000001137,6.56,109,153,119,148,298,323,289
1098,500779,"Quintana, Jose",3964,27.7,0.228,0.101,0.313,0.329,0.276,0.295,0.234,54,237,87.2,13,2258,78.5,78.64,161,488,610,0.09999999999999432,6.4,110,154,117,150,304,322,297
1077,669203,"Burnes, Corbin",5868,18.4,0.1,0.096,0.175,0.196,0.155,0.152,0.115,22,219,82.4,17.1,2807,81.4,81.59,218,447,630,0.19999999999998863,6.32,113,154,119,147,297,320,297
1062,446372,"Kluber, Corey",3792,28,0.232,0.141,0.324,0.374,0.285,0.277,0.223,69,297,85.7,18.9,2518,81.2,81.05,168,525,537,-0.20000000000000284,6.35,109,155,117,149,301,325,293
1002,518516,"Bumgarner, Madison",5009,20,0.225,0.141,0.29,0.365,0.279,0.289,0.228,56,249,87,13.7,2383,78.2,78.02,123,455,547,-0.20000000000000284,6.37,109,153,120,148,300,324,295
991,666200,"Luzardo, Jesús",3371,29.4,0.173,0.142,0.291,0.316,0.247,0.23,0.165,39,225,88.8,12.6,2279,83.6,82.46,194,463,528,-1.0999999999999943,5.61,107,150,118,149,300,317,289
972,663474,"McKenzie, Triston",4782,20.3,0.118,0.059,0.238,0.177,0.143,0.163,0.136,28,237,86.6,13,2179,79.4,79.91,208,464,508,0.5,6.58,114,158,121,151,292,317,294
968,543243,"Gray, Sonny",4100,23.6,0.219,0.109,0.289,0.328,0.258,0.282,0.241,40,183,88.2,6.5,2787,79,78.69,112,405,563,-0.29999999999999716,6.39,114,158,115,150,292,323,292
952,680686,"Gray, Josiah",3810,25,0.185,0.17,0.252,0.355,0.265,0.253,0.18,37,200,85,13,2470,83,81.69,148,397,555,-1.2999999999999972,5.44,116,157,125,146,299,320,299
941,543475,"Lyles, Jordan",5952,15.8,0.273,0.159,0.34,0.432,0.311,0.311,0.261,60,220,90.9,7.3,2540,79.8,79.92,94,387,554,0.10000000000000853,6.6,113,158,119,149,298,325,297
939,593334,"Germán, Domingo",2660,35.3,0.18,0.12,0.267,0.3,0.243,0.25,0.191,36,200,86.3,13,2615,81.1,80.76,180,447,492,-0.29999999999999716,5.98,110,156,119,148,295,327,290
938,657140,"Wright, Kyle",2830,33.1,0.21,0.095,0.302,0.306,0.253,0.264,0.219,53,252,88.5,3.5,2721,84.7,84.85,156,464,474,0.09999999999999432,6.4,113,152,120,149,303,324,301
905,502179,"Espino, Paolo",3608,25.1,0.211,0.146,0.283,0.358,0.258,0.275,0.234,52,246,84.8,7.3,2996,71.2,70.6,142,464,441,-0.6000000000000085,6.44,113,157,127,146,300,321,299
896,663556,"McClanahan, Shane",4417,20.3,0.163,0.06,0.25,0.223,0.193,0.225,0.187,38,233,86.6,1.6,2637,82.2,82.89,123,363,533,0.7000000000000028,6.8,104,153,114,148,304,325,295
891,607536,"Freeland, Kyle",4725,18.9,0.183,0.112,0.292,0.295,0.245,0.253,0.19,49,268,89,7.2,2442,80.6,81.27,157,448,443,0.7000000000000028,6.51,110,153,124,146,303,329,299
884,425844,"Greinke, Zack",4849,18.2,0.235,0.181,0.226,0.415,0.281,0.295,0.251,61,260,84.5,14.7,2400,71.6,70.81,95,457,427,-0.7999999999999972,5.84,112,156,116,149,296,325,297
877,572955,"Johnson, Pierce",1325,66.2,0.211,0.139,0.295,0.349,0.265,0.27,0.213,44,209,87.5,16.1,2885,84.3,83.32,129,405,472,-1,5.73,115,154,132,146,298,322,310
871,543135,"Eovaldi, Nathan",4666,18.7,0.181,0.098,0.265,0.28,0.214,0.214,0.184,35,193,83.2,10.5,2077,78.5,78.77,142,379,492,0.29999999999999716,6.58,113,157,116,151,289,325,299
870,663460,"Bubic, Kris",4464,19.5,0.312,0.121,0.347,0.434,0.333,0.321,0.279,54,173,89,-4.7,2613,79,78.79,56,316,554,-0.20000000000000284,6.33,106,155,115,146,301,324,301
866,592791,"Taillon, Jameson",5177,16.7,0.213,0.086,0.317,0.299,0.246,0.247,0.206,42,197,87.8,10.2,2733,80.9,80.9,103,337,529,0,6.57,112,155,119,149,295,326,289
851,518876,"Kelly, Merrill",5496,15.5,0.221,0.132,0.282,0.353,0.265,0.304,0.259,45,204,89.6,6.1,2557,81.7,81.4,97,367,484,-0.29999999999999716,6.17,112,154,119,150,300,324,299
834,666120,"Anderson, Ian",4180,20,0.276,0.166,0.327,0.441,0.324,0.286,0.246,40,145,87.9,8.5,1886,81.1,81.67,114,311,523,0.6000000000000085,6.81,111,153,126,145,304,323,297
826,608723,"Voth, Austin",2783,29.7,0.247,0.148,0.32,0.396,0.3,0.295,0.246,45,182,85.4,8.8,2980,77.9,77.1,102,352,474,-0.8000000000000114,6.08,110,156,119,147,301,322,295
815,642232,"Yarbrough, Ryan",3843,21.2,0.19,0.166,0.218,0.356,0.27,0.248,0.178,39,205,80.2,27.4,2224,71.2,70.54,142,435,380,-0.7000000000000028,6.46,107,155,120,149,299,321,295
791,605540,"Woodruff, Brandon",5348,14.8,0.169,0.125,0.232,0.294,0.206,0.227,0.198,27,160,87.9,5.7,2585,83.9,84.16,91,309,482,0.29999999999999716,6.41,112,154,117,148,297,321,298
779,571945,"Mikolas, Miles",3861,20.2,0.252,0.159,0.28,0.411,0.307,0.299,0.249,38,151,86.7,10.1,2557,76.2,75.99,57,296,483,-0.20000000000000284,6.4,117,157,114,150,298,321,301
761,656638,"Lange, Alex",1685,45.2,0.201,0.128,0.346,0.329,0.265,0.253,0.187,33,164,86.4,7.4,2160,85.2,85.38,197,362,399,0.20000000000000284,6.41,108,154,116,146,302,328,294
746,650644,"Civale, Aaron",3497,21.3,0.149,0.105,0.238,0.254,0.192,0.2,0.17,27,181,83.6,8.1,2909,76.4,74.34,140,343,403,-2.1000000000000085,5.76,114,155,119,150,293,318,295
