"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
3298,640455,"Manaea, Sean",5462,60.4,0.258,0.189,0.308,0.446,0.332,0.33,0.253,195,757,90.6,16.7,2000,91.7,93.11,403,1671,1627,1.3999999999999915,7.23,110,153,119,149,301,323,298
2595,663903,"Singer, Brady",4663,55.7,0.287,0.133,0.347,0.42,0.346,0.329,0.256,160,557,88.4,6.8,2284,93.7,94.45,182,1008,1587,0.7000000000000028,6.67,109,158,115,148,298,325,302
2591,605200,"Davies, Zach",4869,53.2,0.287,0.206,0.307,0.493,0.383,0.41,0.306,144,501,91.2,10.7,2050,88.7,88.34,97,896,1694,-0.4000000000000057,6.07,109,153,117,149,299,323,297
2567,664285,"Valdez, Framber",5108,50.3,0.28,0.107,0.286,0.387,0.329,0.349,0.287,168,599,91.7,-7,2189,93.3,92.46,142,1109,1458,-0.7999999999999972,5.89,109,154,114,148,294,322,291
2170,615698,"Quantrill, Cal",5277,41.1,0.269,0.142,0.3,0.411,0.323,0.327,0.264,146,542,85.7,12.9,2098,93.9,93.13,166,1106,1063,-0.8000000000000114,6.48,110,153,118,149,292,316,292
2147,605288,"Houser, Adrian",4200,51.1,0.247,0.095,0.277,0.342,0.31,0.337,0.267,130,527,87.7,-0.3,2053,93.6,94.14,138,1036,1111,0.5,6.56,107,151,115,146,298,318,295
2038,622072,"Wood, Alex",4434,46,0.256,0.185,0.311,0.441,0.332,0.342,0.257,104,406,90.6,16.8,2069,92.1,91.94,195,890,1148,-0.19999999999998863,6.23,109,152,114,147,300,322,292
2035,573186,"Stroman, Marcus",4922,41.3,0.263,0.131,0.29,0.394,0.322,0.343,0.275,131,498,89.5,2,2276,92,91.58,152,924,1111,-0.4000000000000057,5.85,109,153,114,151,299,323,295
2017,641540,"Dunning, Dane",4457,45.3,0.288,0.15,0.331,0.438,0.357,0.359,0.283,148,514,90.3,3.3,2019,89.9,90.28,109,849,1167,0.3999999999999915,6.59,113,154,119,148,300,324,296
1987,607200,"Fedde, Erick",4830,41.1,0.326,0.176,0.347,0.501,0.388,0.368,0.302,141,433,89.6,1.8,1879,93.2,94.08,111,823,1163,0.8999999999999915,6.75,110,153,119,146,300,320,296
1913,571578,"Corbin, Patrick",5373,35.6,0.309,0.193,0.328,0.503,0.375,0.395,0.313,160,517,90.2,5.4,2080,92.8,93.29,116,960,953,0.5,6.74,108,152,118,147,303,320,291
1826,657277,"Webb, Logan",5220,35,0.303,0.119,0.333,0.422,0.345,0.34,0.289,127,419,89.3,-4.7,1890,92.3,92.94,112,777,1049,0.6000000000000085,6.77,110,153,112,149,298,323,296
1820,605135,"Bassitt, Chris",5267,34.6,0.256,0.116,0.268,0.372,0.317,0.341,0.267,106,414,87.3,3.9,2117,92.8,92.7,125,808,1012,-0.09999999999999432,6.28,110,152,116,149,301,328,300
1764,624133,"Suárez, Ranger",4178,42.2,0.216,0.072,0.272,0.288,0.262,0.285,0.234,93,431,88.2,-2.6,1880,92.7,92.32,116,769,995,-0.4000000000000057,6.2,107,151,115,146,297,324,289
1750,502043,"Gibson, Kyle",5620,31.1,0.283,0.13,0.321,0.413,0.339,0.343,0.276,128,453,91.4,-0.3,2135,92,92.77,146,781,969,0.7999999999999972,6.73,109,151,118,146,298,325,291
1740,571927,"Matz, Steven",3406,51.1,0.297,0.149,0.38,0.446,0.354,0.34,0.278,110,370,89.4,10.4,2202,94.5,94.14,171,787,953,-0.4000000000000057,6.44,107,154,117,147,296,318,289
1731,425794,"Wainwright, Adam",6201,27.9,0.215,0.084,0.274,0.299,0.26,0.322,0.26,87,405,92.1,12.9,2215,88.8,89.24,59,642,1089,0.4000000000000057,6.54,113,155,117,148,299,320,298
1682,502171,"Cobb, Alex",3997,42.1,0.272,0.106,0.378,0.377,0.324,0.311,0.252,113,416,89.9,3.6,2079,94,93.26,86,623,1058,-0.7000000000000028,5.86,110,154,117,148,302,325,296
1679,645261,"Alcantara, Sandy",6343,26.5,0.248,0.11,0.265,0.359,0.294,0.303,0.256,108,435,85.7,-4.4,2309,97.7,96.75,129,890,789,-1,5.92,107,151,116,149,300,316,288
1657,640448,"Finnegan, Kyle",2262,73.3,0.24,0.166,0.293,0.406,0.317,0.296,0.22,84,350,90.6,8,2063,96.3,96.88,183,781,875,0.6000000000000085,6.62,112,154,120,146,302,320,299
1645,570632,"Ureña, José",3317,49.6,0.311,0.148,0.332,0.459,0.369,0.376,0.302,136,438,91.3,4.5,2169,94.8,94.81,128,831,814,0,6.3,109,153,116,149,302,327,300
1632,592767,"Smyly, Drew",3953,41.3,0.307,0.257,0.307,0.564,0.401,0.376,0.289,103,335,89.2,21.7,2115,92.3,91.59,146,861,771,-0.7000000000000028,5.85,108,152,120,148,302,320,291
1618,543294,"Hendricks, Kyle",4156,38.9,0.289,0.167,0.314,0.456,0.347,0.349,0.291,125,432,85.9,9.3,1844,87.1,85.95,100,776,842,-1.0999999999999943,5.8,109,153,115,150,299,322,294
