"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
2244,656302,"Cease, Dylan",6077,36.9,0.146,0.084,0.229,0.23,0.207,0.206,0.145,75,513,83.8,16.8,2852,86.8,86.6,504,1100,1144,-0.20000000000000284,6.02,109,152,113,148,299,323,297
2102,592662,"Ray, Robbie",6188,34,0.179,0.157,0.274,0.335,0.24,0.237,0.186,89,498,89.6,8.8,2188,87.9,88.12,464,1097,1005,0.19999999999998863,6.38,108,153,121,146,295,321,288
1821,571578,"Corbin, Patrick",5373,33.9,0.249,0.222,0.323,0.472,0.331,0.305,0.228,110,441,87.4,13.3,2202,81.1,81.9,351,896,925,0.8000000000000114,6.74,110,153,119,146,303,321,293
1776,663903,"Singer, Brady",4663,38.1,0.239,0.137,0.31,0.376,0.292,0.295,0.238,115,481,88.4,8.2,2366,85.5,86,303,962,814,0.5,6.52,109,159,117,148,299,325,302
1710,592351,"Gray, Jon",4599,37.2,0.156,0.156,0.219,0.313,0.24,0.23,0.161,65,416,86.3,17,2434,85.9,86.23,340,859,851,0.29999999999999716,6.35,112,153,122,148,298,325,299
1644,477132,"Kershaw, Clayton",3648,45.1,0.2,0.13,0.297,0.329,0.249,0.242,0.194,94,471,88.4,3.3,2617,86.8,86.98,420,1028,616,0.20000000000000284,6.3,109,156,116,147,300,314,291
1639,641745,"Keller, Brad",4623,35.5,0.251,0.14,0.317,0.391,0.312,0.328,0.247,97,386,91,10.9,2563,86.5,86.06,233,785,854,-0.4000000000000057,5.83,108,156,116,146,300,323,302
1596,657277,"Webb, Logan",5220,30.6,0.181,0.104,0.263,0.285,0.224,0.232,0.183,70,386,84.7,14,2651,82.5,83.24,268,714,882,0.7000000000000028,6.71,111,154,115,149,299,323,295
1533,607074,"Rodón, Carlos",5204,29.5,0.156,0.034,0.297,0.191,0.188,0.189,0.148,59,377,85.8,14.2,2449,85.5,85.33,282,712,821,-0.20000000000000284,6.08,110,152,116,148,298,321,292
1532,641771,"Kuhl, Chad",3811,40.2,0.219,0.186,0.285,0.405,0.302,0.288,0.218,85,388,85.9,16.2,2480,87.2,87.76,281,828,704,0.5999999999999943,6.39,109,151,119,147,302,325,297
1507,605397,"Musgrove, Joe",5772,26.1,0.184,0.115,0.26,0.299,0.25,0.27,0.206,72,391,84.6,12.3,2752,83.5,82.79,274,754,753,-0.7000000000000028,5.94,114,158,125,148,297,320,304
1498,622072,"Wood, Alex",4434,33.8,0.216,0.128,0.298,0.344,0.285,0.284,0.216,86,398,88.1,4.4,2090,84.2,84.02,268,787,711,-0.20000000000000284,6.19,108,152,115,147,299,322,291
1472,660271,"Ohtani, Shohei",4656,31.6,0.17,0.113,0.229,0.283,0.23,0.24,0.18,62,364,85.8,21.5,2449,84.4,84.98,272,756,716,0.5999999999999943,6.75,112,155,114,150,298,323,293
1461,645261,"Alcantara, Sandy",6343,23,0.202,0.145,0.271,0.347,0.258,0.257,0.2,70,346,88.7,11.8,2357,90.2,89.48,257,738,723,-0.7000000000000028,5.91,108,152,117,149,300,316,288
1433,554430,"Wheeler, Zack",5563,25.8,0.199,0.133,0.257,0.332,0.252,0.266,0.221,72,361,84.6,10.4,2421,91.1,92.6,203,734,699,1.5,7.14,112,151,115,147,294,324,295
1404,664141,"Brubaker, JT",4325,32.5,0.242,0.215,0.338,0.457,0.322,0.294,0.217,91,376,88.3,10.8,2650,86.9,86.17,328,786,618,-0.7000000000000028,5.75,108,152,118,148,304,322,295
1402,543475,"Lyles, Jordan",5952,23.6,0.241,0.15,0.27,0.391,0.288,0.305,0.245,90,373,85.5,16.8,2653,81.6,82.27,206,695,707,0.7000000000000028,6.72,108,153,121,147,304,325,293
1400,605538,"Wisler, Matt",1536,91.1,0.21,0.176,0.257,0.386,0.276,0.261,0.198,67,319,86.3,24.9,2502,80.7,79.66,194,667,733,-1,5.83,110,166,119,149,298,322,296
1398,543037,"Cole, Gerrit",6243,22.4,0.168,0.115,0.248,0.283,0.218,0.239,0.183,61,364,87,8.2,2583,88.6,88.88,311,731,667,0.30000000000001137,6.37,110,154,123,149,297,326,288
1341,608566,"Márquez, Germán",5627,23.8,0.253,0.231,0.303,0.485,0.341,0.298,0.225,82,324,85.9,9.3,2406,86.9,86,249,677,664,-0.9000000000000057,5.41,111,152,120,147,302,329,303
1323,656945,"Scott, Tanner",2305,57.4,0.243,0.12,0.355,0.363,0.319,0.306,0.222,73,300,87.2,5.9,2707,88.9,88.96,271,673,650,0.09999999999999432,6.24,106,151,118,148,301,321,295
1310,666201,"Manoah, Alek",4794,27.3,0.174,0.139,0.23,0.313,0.241,0.259,0.193,59,339,85.5,23.1,2228,81.3,81.46,217,642,668,0.20000000000000284,6.54,110,156,121,149,295,319,294
1287,608337,"Giolito, Lucas",5723,22.5,0.229,0.194,0.271,0.424,0.287,0.275,0.236,72,314,89.3,12.2,1993,85,85.73,223,642,645,0.7000000000000028,6.64,109,152,115,148,301,324,297
1232,669302,"Gilbert, Logan",5140,24,0.217,0.167,0.28,0.384,0.272,0.291,0.231,70,323,87.8,12.5,2284,85.5,87.23,188,615,617,1.7000000000000028,7.26,110,153,122,147,295,323,293
1225,669456,"Bieber, Shane",4434,27.6,0.189,0.095,0.263,0.284,0.224,0.234,0.196,64,338,87.1,10.3,2567,85.2,85.92,283,684,541,0.7000000000000028,6.56,108,153,120,148,299,319,290
1200,601713,"Pivetta, Nick",5827,20.6,0.223,0.155,0.256,0.378,0.294,0.301,0.225,63,283,87.8,12.9,2304,85.9,86.43,191,617,583,0.5,6.57,110,156,119,149,292,328,297
1194,506433,"Darvish, Yu",5740,20.8,0.17,0.106,0.208,0.276,0.21,0.253,0.202,53,312,86,22.2,2749,81.9,81.81,148,611,583,-0.10000000000000853,6.35,114,158,129,146,298,321,305
1189,664299,"Javier, Cristian",4346,27.4,0.109,0.105,0.176,0.213,0.168,0.166,0.115,28,258,82.6,30.4,2588,80.3,79.7,223,516,673,-0.5999999999999943,5.95,111,155,117,149,294,324,291
1181,573186,"Stroman, Marcus",4922,24,0.199,0.125,0.27,0.324,0.239,0.269,0.225,54,272,88.5,9.5,2677,84.8,84.27,169,502,679,-0.5,5.8,109,154,116,150,301,322,294
1176,622608,"Senzatela, Antonio",3926,30,0.311,0.168,0.388,0.479,0.355,0.32,0.274,102,328,89.3,7.8,2089,86.1,86.01,139,569,607,-0.09999999999999432,6,108,152,121,147,303,330,303
1173,669373,"Skubal, Tarik",4461,26.3,0.216,0.131,0.267,0.346,0.251,0.261,0.218,61,283,87.4,10.3,2089,87.9,87.99,161,611,562,0.09999999999999432,6.24,108,154,115,148,300,328,296
1159,596001,"Junis, Jakob",2429,47.7,0.219,0.142,0.303,0.361,0.276,0.276,0.22,66,302,88.4,15.7,2469,83,82.17,156,551,608,-0.7999999999999972,5.71,111,154,118,148,299,325,298
1153,650895,"Castillo, Diego",1779,64.8,0.151,0.097,0.216,0.247,0.21,0.227,0.169,42,279,83.8,12,2261,87.8,86.88,222,605,548,-0.8999999999999915,5.36,110,153,117,146,297,321,292
1141,605483,"Snell, Blake",4688,24.3,0.161,0.101,0.295,0.262,0.214,0.237,0.176,43,267,87.7,11.5,2403,87.7,88.42,280,603,538,0.7000000000000028,6.71,111,154,123,148,299,322,305
1134,605242,"Fulmer, Michael",2226,50.9,0.237,0.074,0.313,0.311,0.261,0.261,0.218,64,270,85.8,14.7,2412,90.7,91.19,186,590,544,0.5,6.51,108,154,117,148,300,328,295
1131,641540,"Dunning, Dane",4457,25.4,0.219,0.21,0.298,0.429,0.292,0.269,0.199,49,224,85.7,8.2,2077,79.1,79.16,197,513,618,0.10000000000000853,6.44,112,154,121,147,302,324,295
1101,605130,"Barlow, Scott",2421,45.5,0.203,0.117,0.268,0.32,0.263,0.262,0.196,47,231,86.2,12,2446,84.6,85.53,198,508,593,0.9000000000000057,6.75,109,157,117,146,300,323,300
1100,663738,"Lynch, Daniel",3692,29.8,0.246,0.184,0.331,0.43,0.336,0.331,0.243,60,244,89,12.2,2032,85.7,86.39,212,589,511,0.7000000000000028,6.73,105,154,117,146,304,324,299
1082,641816,"Mahle, Tyler",5297,20.4,0.273,0.171,0.313,0.444,0.326,0.325,0.269,59,216,87.5,12.4,2527,86.1,86.88,128,443,639,0.8000000000000114,6.57,111,152,115,147,297,319,289
1081,608331,"Fried, Max",5376,20.1,0.224,0.131,0.277,0.354,0.283,0.305,0.228,53,237,86.8,14.3,2440,86,85.98,159,543,538,0,6.19,108,152,121,149,306,323,292
1078,622491,"Castillo, Luis",5670,19,0.177,0.123,0.227,0.3,0.229,0.259,0.213,36,203,85.9,9.1,2432,86.5,85.44,193,494,584,-1.0999999999999943,5.5,113,153,117,147,294,321,290
1069,607536,"Freeland, Kyle",4725,22.6,0.27,0.203,0.316,0.473,0.345,0.307,0.227,64,237,86.4,20.5,2355,85.7,86.5,125,512,557,0.7999999999999972,6.55,109,152,121,147,302,329,300
1060,663556,"McClanahan, Shane",4417,24,0.221,0.131,0.321,0.352,0.27,0.287,0.235,59,267,87.8,3.4,2382,89.2,90.17,240,568,492,1,6.78,103,153,114,148,302,323,295
1050,453286,"Scherzer, Max",4988,21.1,0.165,0.09,0.256,0.255,0.189,0.187,0.159,46,278,81.8,10.3,2287,85.4,85.19,282,597,453,-0.20000000000000284,6.19,108,153,116,148,303,325,293
1050,579328,"Kikuchi, Yusei",4405,23.8,0.277,0.261,0.352,0.537,0.366,0.315,0.244,85,307,90.9,11.1,2376,84.7,85.43,201,625,425,0.7000000000000028,6.71,108,152,118,148,301,323,293
1044,656605,"Keller, Mitch",4519,23.1,0.23,0.119,0.311,0.349,0.286,0.296,0.235,64,278,89.2,12.7,2516,85.1,85,151,518,526,-0.09999999999999432,6.22,105,150,117,147,307,322,293
1040,543101,"DeSclafani, Anthony",2887,36,0.25,0.134,0.33,0.384,0.295,0.299,0.246,67,268,88.2,11.1,2198,87.9,88.68,171,528,512,0.7999999999999972,6.54,110,155,115,149,299,323,295
1038,543521,"McHugh, Collin",2058,50.4,0.165,0.088,0.242,0.253,0.219,0.223,0.171,43,261,85.3,16.1,2787,79.8,79.91,155,493,545,0.10000000000000853,6.57,109,153,122,148,302,322,296
1037,502043,"Gibson, Kyle",5620,18.5,0.202,0.144,0.312,0.347,0.266,0.244,0.187,56,277,85.4,10.8,2511,83.4,83.92,220,550,487,0.5,6.65,110,152,120,147,299,326,290
1032,668676,"Plesac, Zach",4358,23.7,0.201,0.12,0.257,0.32,0.243,0.262,0.22,62,309,85.6,3.2,2079,86.1,86.12,206,596,436,0,6.12,107,153,121,148,298,320,291
1028,542914,"Bass, Anthony",1945,52.9,0.181,0.153,0.248,0.333,0.231,0.22,0.176,45,249,86,16.8,2208,86.3,86.25,212,505,523,0,6.3,107,151,117,148,301,319,290
1020,643511,"Rogers, Tyler",2295,44.4,0.171,0.123,0.216,0.294,0.222,0.214,0.175,43,252,81.1,22.1,2272,72,70.86,117,448,572,-1.0999999999999943,5.92,110,150,112,148,296,321,291
1019,570666,"Cessa, Luis",2184,46.7,0.22,0.178,0.272,0.398,0.297,0.293,0.224,57,259,86.7,11.6,2499,82.8,81.29,148,451,568,-1.5,5.7,111,152,120,147,295,321,288
